alphabet,threshold,method,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,aaindex,selected_sites,feature_num
Standard,0.3,random forest,0.93,0.91,0.92,0.92,0.07,0.09,0.08,0.07,0.92,0.93,0.84,"EISD860103, KARS160101, FAUJ880111, RICJ880105, NOZY710101, ROBB790101, QIAN880137","[49, 61, 82, 120, 123, 130, 132, 134, 136, 143, 144, 154, 155, 156, 157, 158, 171, 188, 189, 192, 196, 225, 261, 275, 277]",175
20-Cannata 2002,0.3,svc,0.93,0.91,0.92,0.91,0.07,0.09,0.08,0.07,0.92,0.93,0.84,"KARS160110, CHAM830105, SUEM840102, CHAM830107, LEVM760106","[61, 82, 120, 123, 130, 132, 134, 136, 143, 144, 154, 155, 156, 157, 158, 171, 188, 189, 192, 196, 225, 261, 275, 277]",120
SE-B(14),0.3,random forest,0.92,0.91,0.92,0.91,0.08,0.09,0.08,0.08,0.91,0.92,0.83,"KLEP840101, CHAM830105, KARS160104, LEVM760106","[61, 82, 120, 123, 130, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 189, 192, 196, 225, 261, 275, 277]",92
7-Risler88,0.3,mlp,0.92,0.91,0.92,0.9,0.08,0.09,0.08,0.08,0.91,0.92,0.83,"RACS820109, MITS020101, FAUJ880109, CHOP780101, DAWD720101, NOZY710101, KLEP840101","[61, 82, 120, 123, 130, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 189, 192, 225, 261, 275, 277]",154
21-Fan 2003,0.3,mlp,0.91,0.9,0.92,0.89,0.09,0.1,0.08,0.1,0.91,0.91,0.81,"CHAM830107, CHAM830103, FINA910101, CHOP780215, FINA910104, CHAM830104","[61, 82, 120, 123, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 192, 196, 225, 261, 275, 277]",126
23a-Edgar Se-B 2003,0.3,random forest,0.91,0.9,0.92,0.9,0.09,0.1,0.08,0.09,0.91,0.91,0.81,"VENT840101, CEDJ970104, FAUJ880111, RACS820109, CHAM830107","[61, 82, 120, 123, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 189, 192, 196, 261, 275, 277]",105
31-Zuo 2009,0.3,random forest,0.92,0.91,0.92,0.91,0.08,0.09,0.08,0.08,0.91,0.92,0.83,"BUNA790103, VENT840101, FAUJ880105, CHAM830106, RICJ880112, KLEP840101, PONP800101","[61, 82, 120, 123, 130, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 189, 192, 225, 261, 275, 277]",154
1-Mahler66,0.3,mlp,0.9,0.9,0.91,0.88,0.1,0.1,0.09,0.11,0.9,0.91,0.8,"CHAM830108, CHAM830104, CHAM810101, FAUJ880112, VENT840101, FINA910104","[61, 82, 120, 123, 130, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 192, 196, 261, 275, 277]",126
3-Robson76,0.3,random forest,0.9,0.9,0.91,0.89,0.1,0.1,0.09,0.1,0.9,0.91,0.8,"ANDN920101, VENT840101, FAUJ880112, FAUJ880105, CHAM830107, FAUJ880111","[61, 82, 120, 123, 130, 132, 134, 136, 143, 144, 154, 155, 156, 157, 158, 171, 188, 189, 196]",114
4-Dayhoff78,0.3,random forest,0.9,0.9,0.91,0.89,0.1,0.1,0.09,0.1,0.9,0.91,0.8,"CHAM830103, ANDN920101, VENT840101, FAUJ880111, KLEP840101, FAUJ880112","[61, 82, 120, 123, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 192, 196, 261, 275, 277]",120
6-Taylor86,0.3,mlp,0.91,0.89,0.91,0.89,0.09,0.11,0.09,0.09,0.9,0.91,0.8,"EISD860102, KLEP840101, VENT840101, CHAM820102, CHAM830103, KARS160120","[61, 82, 120, 123, 130, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 192, 196, 261, 275, 277]",126
16-Murphy 2000,0.3,mlp,0.9,0.89,0.91,0.89,0.1,0.11,0.09,0.1,0.9,0.91,0.8,"CHAM830106, FAUJ880105, FINA910102, FAUJ880111, VENT840101, FAUJ880110","[61, 82, 120, 123, 130, 132, 134, 136, 143, 144, 154, 155, 156, 157, 171, 188, 192, 196, 261, 275, 277]",126
