alphabet,threshold,method,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,aaindex,selected_sites,feature_num
14a-Prlic SDM12 2000,0.5,svc,0.66,0.93,0.84,0.83,0.34,0.07,0.16,0.44,0.84,0.74,0.63,"CHAM810101, CHAM830104, GRAR740101, BROC820102, FAUJ880112, FAUJ880111, VENT840101, CHAM830108","[34, 70, 81, 93, 165, 186, 251, 266]",64
SE-B(8),0.5,svc,0.62,0.94,0.85,0.82,0.38,0.06,0.15,0.53,0.83,0.71,0.61,"CHAM830104, GRAR740103, FAUJ880105, CHAM830107, VENT840101, CHAM830103","[70, 81, 93, 165, 251, 266]",36
14b-Prlic SDM17 2000,0.5,svc,0.65,0.92,0.82,0.83,0.35,0.08,0.18,0.44,0.83,0.73,0.61,"CHAM830108, GOLD730101, CHAM810101, GRAR740101","[34, 81, 93, 145, 165, 186, 188, 208, 251, 266]",40
29-Etchebest 2007,0.5,mlp,0.62,0.94,0.85,0.82,0.38,0.06,0.15,0.52,0.83,0.72,0.61,"CHAM830107, FAUJ880109, ISOY800108, KARS160102","[70, 81, 93, 165, 251, 266, 270]",28
15b-Solis(D) 2000,0.5,mlp,0.62,0.94,0.84,0.82,0.38,0.06,0.16,0.52,0.82,0.71,0.61,"CHAM830106, BEGF750102, FAUJ880111, CHAM830105","[70, 81, 93, 165, 251, 266, 270]",28
15a-Solis(G) 2000,0.5,svc,0.57,0.94,0.84,0.8,0.43,0.06,0.16,0.64,0.81,0.68,0.57,"AURR980103, FAUJ880105","[34, 81, 93, 186, 266, 270]",12
24-Kosiol 2003,0.5,mlp,0.57,0.92,0.8,0.8,0.43,0.08,0.2,0.61,0.8,0.66,0.54,"ANDN920101, CHAM830104, KLEP840101","[70, 93, 165, 251]",12
1-Mahler66,0.5,mlp,0.53,0.91,0.76,0.78,0.47,0.09,0.24,0.67,0.78,0.62,0.49,"BEGF750103, CHAM830103, MITS020101, VENT840101","[34, 81, 93, 140, 186, 266, 273]",28
8-Crippen90,0.5,svc,0.54,0.9,0.75,0.78,0.46,0.1,0.25,0.66,0.78,0.62,0.48,"ANDN920101, CHAM830103, CHAM830107, FAUJ880103, KLEP840101","[34, 140, 186, 188, 208, 266, 273]",35
Standard,0.5,svc,0.55,0.9,0.74,0.79,0.45,0.1,0.26,0.62,0.77,0.63,0.48,"FAUJ880102, KARS160101","[34, 81, 93, 140, 165, 186, 188, 208, 266, 273]",20
Van Der Waals Volume,0.5,svc,0.48,0.92,0.77,0.77,0.52,0.08,0.23,0.83,0.77,0.59,0.47,"ANDN920101, CHAM830104, FAUJ880111, MONM990201","[34, 81, 140, 165, 266, 273]",24
Polarizability,0.5,svc,0.48,0.92,0.77,0.77,0.52,0.08,0.23,0.82,0.77,0.59,0.46,"ANDN920101, FAUJ880111","[34, 81, 140, 165, 266, 273]",12
SE-B(14),0.5,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.82,0.77,0.6,0.47,"RICJ880109, NOZY710101","[34, 81, 93, 140, 165, 186, 266, 273]",16
4-Dayhoff78,0.5,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.81,0.77,0.6,0.47,"CHAM830103, KLEP840101, VENT840101, BEGF750103","[81, 93, 140, 165, 266, 273]",24
7-Risler88,0.5,mlp,0.53,0.9,0.73,0.78,0.47,0.1,0.27,0.67,0.77,0.61,0.46,"NOZY710101, RICJ880103","[34, 81, 93, 140, 165, 186, 266, 273]",16
11-Riddle97,0.5,mlp,0.52,0.9,0.74,0.78,0.48,0.1,0.26,0.71,0.77,0.61,0.47,"ANDN920101, CHAM830103, CHAM830107, FAUJ880105, FAUJ880112","[34, 81, 93, 140, 165, 186, 266, 273]",40
13-Wang99,0.5,mlp,0.52,0.9,0.74,0.78,0.48,0.1,0.26,0.71,0.77,0.61,0.47,"ANDN920101, CHAM830103, CHAM830107, FAUJ880105, FAUJ880112","[34, 81, 93, 140, 165, 186, 266, 273]",40
16-Murphy 2000,0.5,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.82,0.77,0.6,0.47,"NOZY710101, CHAM810101, CHAM830104, FAUJ880109, BLAM930101","[81, 93, 140, 165, 266, 273]",30
20-Cannata 2002,0.5,mlp,0.52,0.9,0.74,0.78,0.48,0.1,0.26,0.68,0.77,0.61,0.47,"KARS160104, CHAM830108, CHAM830103, PALJ810116","[34, 81, 93, 140, 165, 186, 266, 273]",32
21-Fan 2003,0.5,mlp,0.52,0.9,0.74,0.77,0.48,0.1,0.26,0.71,0.77,0.61,0.46,"CHAM830103, FAUJ880111","[34, 81, 93, 140, 165, 186, 266, 273]",16
22-Li 2003,0.5,svc,0.53,0.91,0.75,0.78,0.47,0.09,0.25,0.68,0.77,0.62,0.48,"RICJ880101, CHAM830103, BEGF750102, CASG920101, FINA910104","[34, 81, 93, 140, 165, 186, 266, 273]",40
23a-Edgar Se-B 2003,0.5,mlp,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.82,0.77,0.6,0.47,"FAUJ880105, ANDN920101, CHAM830107, BEGF750102, CHAM830108, FAUJ880111, CHAM830105, CHAM830103","[81, 93, 140, 165, 266, 273]",48
23b-Edgar Se-V 2003,0.5,svc,0.49,0.92,0.77,0.77,0.51,0.08,0.23,0.82,0.77,0.6,0.47,"CHAM830104, QIAN880138, CHAM830107, GEIM800101, CHAM830103, CHAM810101, LEVM760103","[81, 93, 140, 165, 266, 273]",42
25-Weathers 2004,0.5,svc,0.5,0.92,0.77,0.77,0.5,0.08,0.23,0.77,0.77,0.61,0.47,"ANDN920101, RICJ880109, CHAM830104, FAUJ880112","[93, 140, 165, 188, 208, 266, 273]",28
26-Anderson 2004,0.5,svc,0.51,0.91,0.75,0.77,0.49,0.09,0.25,0.72,0.77,0.61,0.47,"NOZY710101, DAWD720101","[34, 81, 93, 140, 165, 186, 266, 273]",16
28-Lenckowski 2007,0.5,mlp,0.55,0.88,0.72,0.78,0.45,0.12,0.28,0.6,0.77,0.62,0.47,"ANDN920101, CHAM830108, FAUJ880112","[34, 81, 93, 140, 165, 186, 188, 208, 273]",27
31-Zuo 2009,0.5,svc,0.49,0.92,0.76,0.77,0.51,0.08,0.24,0.81,0.77,0.6,0.47,"RICJ880101, PONP800101, BEGF750103, FAUJ880105, MITS020101, CHAM830107","[81, 93, 140, 165, 266, 273]",36
2-Lehninger70,0.5,mlp,0.46,0.93,0.78,0.76,0.54,0.07,0.22,0.93,0.76,0.58,0.46,"CHAM830104, CHAM830107, FAUJ880112, CHAM830103","[34, 81, 93, 140, 186, 273]",24
3-Robson76,0.5,svc,0.5,0.91,0.75,0.77,0.5,0.09,0.25,0.76,0.76,0.6,0.46,"CHAM830104, FAUJ880105, ANDN920101, VENT840101","[34, 81, 93, 140, 165, 186, 273]",28
6-Taylor86,0.5,mlp,0.51,0.9,0.74,0.77,0.49,0.1,0.26,0.7,0.76,0.6,0.46,"FINA910103, CHAM830103, VENT840101","[34, 81, 93, 140, 165, 186, 266, 273]",24
9-Maiorov92,0.5,svc,0.42,0.95,0.82,0.75,0.58,0.05,0.18,1.15,0.76,0.55,0.46,"CHAM830104, ANDN920101, CHAM830107","[81, 140, 266, 273]",12
10-Thomas96,0.5,mlp,0.47,0.92,0.77,0.76,0.53,0.08,0.23,0.89,0.76,0.58,0.46,"ANDN920101, VENT840101, KLEP840101, CHAM830103, FAUJ880109, FAUJ880112","[34, 81, 93, 140, 186, 273]",36
12-Mirny99,0.5,svc,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.89,0.76,0.58,0.45,"CHAM830103, CHAM830107, FAUJ880111, VENT840101, FAUJ880112","[34, 81, 140, 186, 273]",25
18-Ceiplak 2001,0.5,mlp,0.49,0.91,0.75,0.77,0.51,0.09,0.25,0.79,0.76,0.59,0.45,"FINA910102, VENT840101, RICJ880101","[81, 93, 140, 165, 188, 208, 273]",21
19-Liu 2002,0.5,svc,0.47,0.92,0.76,0.76,0.53,0.08,0.24,0.85,0.76,0.58,0.45,"CHAM830103, CHAM830105, FAUJ880112, FAUJ880109, CHAM830107","[34, 81, 140, 165, 186, 273]",30
30-Solis GBMR4 2009,0.5,mlp,0.45,0.92,0.75,0.76,0.55,0.08,0.25,0.91,0.75,0.57,0.43,"ANDN920101, KLEP840101, MEIH800101, VENT840101","[42, 46, 68, 79, 152, 165, 182, 251, 270, 272]",40
Polarity,0.5,svc,0.41,0.93,0.75,0.74,0.59,0.07,0.25,1.1,0.74,0.53,0.41,"ANDN920101, FAUJ880111, KLEP840101, VENT840101","[81, 93, 165, 251, 266]",20
5-Dickerson83,0.5,svc,0.41,0.93,0.75,0.74,0.59,0.07,0.25,1.1,0.74,0.53,0.41,"ANDN920101, CHAM830104, FAUJ880111, KLEP840101","[81, 93, 165, 251, 266]",20
17-Rogov 2001,0.5,mlp,0.39,0.92,0.73,0.74,0.61,0.08,0.27,1.14,0.74,0.51,0.39,"CHAM830104, ANDN920101, CHAM830103","[81, 93, 165, 251]",12
Hyrophobic,0.5,mlp,0.34,0.95,0.78,0.72,0.66,0.05,0.22,1.55,0.73,0.47,0.38,"ANDN920101, FAUJ880112, KLEP840101, MAXF760101","[81, 165, 251, 266]",16
27-Melo 2005,0.5,mlp,0.36,0.93,0.75,0.73,0.64,0.07,0.25,1.36,0.73,0.48,0.37,"CHAM830104, ANDN920101, KLEP840101, PALJ810110","[93, 165, 251]",12
