alphabet,threshold,method,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,aaindex,selected_sites,feature_num
Standard,0.3,mlp,0.81,0.91,0.84,0.9,0.19,0.09,0.16,0.2,0.88,0.82,0.73,"QIAN880128, QIAN880124, NAKH900104, RICJ880103, KLEP840101","[34, 42, 46, 68, 70, 79, 81, 93, 132, 140, 145, 152, 165, 182, 186, 188, 189, 190, 208, 251, 266, 270, 272, 273]",120
SE-B(14),0.3,mlp,0.8,0.91,0.83,0.9,0.2,0.09,0.17,0.21,0.87,0.82,0.72,"FASG760105, CHAM830108, LEVM760106, RICJ880109, FAUJ880105, KLEP840101","[34, 42, 46, 68, 70, 79, 81, 93, 140, 152, 165, 182, 186, 189, 190, 251, 266, 270, 272, 273]",120
1-Mahler66,0.3,mlp,0.79,0.91,0.82,0.89,0.21,0.09,0.18,0.22,0.87,0.8,0.7,"KLEP840101, CHAM830104, CHAM830103, MITS020101, ANDN920101","[34, 42, 46, 68, 70, 81, 93, 140, 152, 182, 186, 189, 251, 266, 270, 272, 273]",85
2-Lehninger70,0.3,mlp,0.79,0.91,0.82,0.89,0.21,0.09,0.18,0.23,0.87,0.8,0.7,"CHAM830104, FAUJ880111, FAUJ880112, ANDN920101, CHAM830107, CHAM830103","[34, 42, 46, 68, 81, 93, 140, 152, 182, 186, 189, 251, 270, 272, 273]",90
3-Robson76,0.3,mlp,0.79,0.91,0.83,0.89,0.21,0.09,0.17,0.22,0.87,0.81,0.71,"CHAM810101, FAUJ880112, FAUJ880111, VENT840101","[34, 42, 46, 68, 79, 81, 93, 140, 152, 165, 182, 186, 189, 251, 270, 272, 273]",68
6-Taylor86,0.3,mlp,0.8,0.9,0.82,0.89,0.2,0.1,0.18,0.2,0.87,0.81,0.71,"FINA910103, KLEP840101, KRIW790102, CHAM830104, CHAM830105","[34, 42, 46, 68, 70, 79, 81, 93, 132, 140, 152, 165, 182, 186, 189, 251, 266, 270, 272, 273]",100
7-Risler88,0.3,mlp,0.8,0.91,0.82,0.89,0.2,0.09,0.18,0.2,0.87,0.81,0.71,"KLEP840101, FAUJ880108, ROBB760108, FASG760105, CHAM830103","[34, 42, 46, 68, 70, 79, 81, 93, 132, 140, 152, 165, 182, 186, 189, 190, 251, 266, 270, 272, 273]",105
8-Crippen90,0.3,random forest,0.79,0.91,0.83,0.89,0.21,0.09,0.17,0.22,0.87,0.81,0.71,"ANDN920101, CHAM830103, CHAM830107, FAUJ880103, KLEP840101","[34, 42, 46, 68, 132, 140, 145, 182, 186, 188, 189, 208, 251, 266, 270, 272, 273]",85
10-Thomas96,0.3,mlp,0.79,0.91,0.82,0.89,0.21,0.09,0.18,0.22,0.87,0.8,0.7,"CHAM830107, FAUJ880111, CHAM830103, FAUJ880112, KLEP840101","[34, 42, 46, 68, 81, 93, 140, 152, 186, 189, 251, 272, 273]",65
12-Mirny99,0.3,mlp,0.79,0.91,0.83,0.89,0.21,0.09,0.17,0.22,0.87,0.81,0.71,"HOPT810101, KLEP840101, CHAM830107, ANDN920101, WILM950102","[34, 42, 46, 68, 70, 81, 140, 152, 182, 186, 189, 251, 270, 272, 273]",75
19-Liu 2002,0.3,mlp,0.8,0.91,0.83,0.89,0.2,0.09,0.17,0.21,0.87,0.81,0.71,"CHAM830104, CHAM830105, FAUJ880110, CHAM830103, CHAM830107","[34, 42, 46, 68, 79, 81, 140, 152, 165, 186, 189, 251, 272, 273]",70
