alphabet,threshold,method,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,aaindex,selected_sites,feature_num
20-Cannata 2002,0.3,mlp,0.81,0.91,0.83,0.9,0.19,0.09,0.17,0.19,0.87,0.82,0.72,"FAUJ880105, GRAR740101, BEGF750101, KARS160104, FASG760105, KLEP840101","[34, 42, 46, 68, 70, 79, 81, 93, 140, 152, 165, 182, 186, 189, 190, 251, 266, 270, 272, 273]",120
22-Li 2003,0.3,random forest,0.8,0.91,0.82,0.89,0.2,0.09,0.18,0.21,0.87,0.81,0.71,"COHE430101, KLEP840101, CHAM830103, RICJ880117, FAUJ880109","[34, 42, 46, 68, 70, 79, 81, 93, 140, 152, 165, 182, 186, 189, 190, 251, 266, 270, 272, 273]",100
26-Anderson 2004,0.3,mlp,0.8,0.91,0.83,0.89,0.2,0.09,0.17,0.21,0.87,0.81,0.72,"KARS160101, DAWD720101, PONP800101, FASG760105, KLEP840101","[34, 42, 46, 68, 70, 79, 81, 93, 132, 140, 152, 165, 182, 186, 189, 190, 251, 266, 270, 272, 273]",105
28-Lenckowski 2007,0.3,random forest,0.81,0.91,0.83,0.9,0.19,0.09,0.17,0.2,0.87,0.82,0.72,"CHAM830106, CHAM830108, FAUJ880112, FAUJ880105, KLEP840101","[34, 46, 68, 70, 79, 81, 93, 132, 140, 145, 152, 165, 182, 186, 188, 189, 190, 208, 251, 270, 272, 273]",110
9-Maiorov92,0.3,mlp,0.73,0.93,0.85,0.87,0.27,0.07,0.15,0.31,0.86,0.79,0.69,"CHAM830104, ANDN920101, CHAM830107, FAUJ880105, KLEP840101, CHAM830108, FAUJ880111","[42, 46, 68, 81, 140, 152, 182, 189, 251, 266, 270, 272, 273]",91
11-Riddle97,0.3,mlp,0.74,0.92,0.83,0.87,0.26,0.08,0.17,0.29,0.86,0.78,0.68,"CHAM830107, BEGF750102, NOZY710101, FAUJ880112, CHAM830103, ANDN920101","[34, 42, 46, 68, 79, 81, 93, 132, 140, 152, 165, 182, 186, 251, 266, 270, 272, 273]",108
13-Wang99,0.3,mlp,0.74,0.92,0.83,0.87,0.26,0.08,0.17,0.29,0.86,0.78,0.68,"CHAM830107, BEGF750102, NOZY710101, FAUJ880112, CHAM830103, ANDN920101","[34, 42, 46, 68, 79, 81, 93, 132, 140, 152, 165, 182, 186, 251, 266, 270, 272, 273]",108
18-Ceiplak 2001,0.3,mlp,0.75,0.92,0.84,0.87,0.25,0.08,0.16,0.28,0.86,0.79,0.69,"FINA910104, ANDN920101, CHAM830105, VENT840101","[42, 46, 68, 79, 81, 93, 140, 145, 165, 188, 189, 208, 251, 273]",56
21-Fan 2003,0.3,mlp,0.75,0.92,0.84,0.87,0.25,0.08,0.16,0.29,0.86,0.79,0.69,"CHAM830104, CHOC760102, KLEP840101, CHAM830105, FAUJ880105, CHAM830107","[34, 42, 46, 68, 70, 79, 81, 93, 140, 152, 165, 182, 186, 190, 251, 266, 270, 272, 273]",114
25-Weathers 2004,0.3,random forest,0.74,0.93,0.85,0.87,0.26,0.07,0.15,0.31,0.86,0.79,0.69,"FAUJ880111, RICJ880109, FAUJ880112, ANDN920101, VENT840101, CHAM830104","[42, 46, 68, 79, 93, 140, 145, 152, 165, 182, 188, 189, 208, 251, 266, 270, 272, 273]",108
Van Der Waals Volume,0.3,random forest,0.71,0.93,0.85,0.85,0.29,0.07,0.15,0.35,0.85,0.77,0.67,"ANDN920101, CHAM830104, FAUJ880111, MONM990201","[34, 42, 46, 68, 70, 79, 81, 140, 152, 165, 186, 266, 273]",52
Polarizability,0.3,random forest,0.72,0.93,0.85,0.86,0.28,0.07,0.15,0.34,0.85,0.78,0.67,"ANDN920101, FAUJ880111","[34, 42, 46, 68, 70, 79, 81, 140, 152, 165, 182, 186, 266, 270, 273]",30
4-Dayhoff78,0.3,mlp,0.68,0.94,0.86,0.84,0.32,0.06,0.14,0.41,0.85,0.76,0.66,"AURR980103, ANDN920101, FAUJ880112, FAUJ880111, CHAM830104, MITS020101, RACS820109, FINA910104","[42, 46, 68, 70, 79, 81, 93, 140, 152, 165, 251, 266, 272, 273]",112
14a-Prlic SDM12 2000,0.3,mlp,0.74,0.91,0.82,0.86,0.26,0.09,0.18,0.3,0.85,0.77,0.66,"FINA910102, BEGF750101, CHAM830107, FAUJ880109, CHAM830104, CHOC760101","[34, 42, 46, 68, 70, 79, 81, 93, 152, 165, 182, 186, 189, 251, 266, 270, 272]",102
14b-Prlic SDM17 2000,0.3,mlp,0.76,0.9,0.81,0.88,0.24,0.1,0.19,0.25,0.85,0.79,0.68,"FAUJ880102, KARS160118, CHAM830104, FAUJ880111, RICJ880106","[34, 42, 46, 68, 70, 79, 81, 93, 132, 145, 152, 165, 182, 186, 188, 189, 208, 251, 266, 270, 272]",105
16-Murphy 2000,0.3,mlp,0.74,0.92,0.83,0.87,0.26,0.08,0.17,0.3,0.85,0.78,0.67,"KLEP840101, FAUJ880109, ANDN920101, CHAM830104, FINA770101, CHAM830105","[42, 46, 68, 70, 79, 81, 93, 140, 152, 165, 182, 189, 251, 266, 270, 272, 273]",102
23a-Edgar Se-B 2003,0.3,random forest,0.68,0.94,0.87,0.85,0.32,0.06,0.13,0.4,0.85,0.77,0.67,"FINA910102, QIAN880115, FAUJ880111, RICJ880109, CHAM830104, CHAM830107, FINA770101","[42, 46, 68, 70, 79, 81, 93, 140, 152, 165, 182, 251, 266, 270, 272, 273]",112
23b-Edgar Se-V 2003,0.3,mlp,0.69,0.93,0.85,0.85,0.31,0.07,0.15,0.39,0.85,0.76,0.66,"KLEP840101, BEGF750101, QIAN880115, CHAM830104, QIAN880138, CHAM830107","[42, 46, 68, 70, 79, 81, 93, 140, 152, 165, 182, 251, 266, 270, 272, 273]",96
31-Zuo 2009,0.3,mlp,0.73,0.92,0.83,0.86,0.27,0.08,0.17,0.31,0.85,0.78,0.67,"DAWD720101, PONP800101, KARS160118, CHAM830103, RICJ880109, KLEP840101","[42, 46, 68, 70, 79, 81, 93, 132, 140, 152, 165, 182, 189, 190, 251, 266, 270, 272, 273]",114
15a-Solis(G) 2000,0.3,mlp,0.72,0.9,0.8,0.86,0.28,0.1,0.2,0.31,0.84,0.76,0.64,"AURR980103, CHAM830108","[34, 46, 68, 81, 93, 132, 152, 182, 186, 189, 266, 270, 272]",26
Hyrophobic,0.3,random forest,0.63,0.94,0.85,0.82,0.37,0.06,0.15,0.49,0.83,0.72,0.62,"ANDN920101, FAUJ880112, KLEP840101, MAXF760101","[42, 46, 68, 79, 81, 152, 165, 251, 266, 272]",40
Polarity,0.3,svc,0.63,0.95,0.87,0.82,0.37,0.05,0.13,0.52,0.83,0.73,0.63,"ANDN920101, FAUJ880111, KLEP840101, VENT840101","[42, 46, 68, 79, 81, 93, 152, 165, 251, 266, 272]",44
SE-B(8),0.3,random forest,0.64,0.94,0.84,0.83,0.36,0.06,0.16,0.47,0.83,0.73,0.62,"CHAM830104, PALJ810107, MITS020101, CHAM830105, CHAM830107, FINA910104, GRAR740103","[42, 46, 68, 70, 79, 81, 93, 152, 165, 182, 251, 266, 270, 272]",98
5-Dickerson83,0.3,svc,0.63,0.94,0.86,0.82,0.37,0.06,0.14,0.51,0.83,0.73,0.63,"ANDN920101, CHAM830104, FAUJ880111, KLEP840101","[42, 46, 68, 79, 81, 93, 152, 165, 251, 266, 272]",44
15b-Solis(D) 2000,0.3,mlp,0.65,0.93,0.84,0.83,0.35,0.07,0.16,0.46,0.83,0.73,0.62,"ANDN920101, FAUJ880111, CHAM830107, CHAM830106, KARS160120, CHAM830103, BEGF750102, VENT840101","[42, 46, 68, 70, 79, 81, 93, 132, 152, 165, 182, 189, 190, 251, 266, 270, 272]",136
17-Rogov 2001,0.3,svc,0.63,0.94,0.86,0.82,0.37,0.06,0.14,0.51,0.83,0.73,0.63,"CHAM830104, ANDN920101, CHAM830105, FAUJ880111","[42, 46, 68, 79, 81, 93, 152, 165, 182, 251, 270, 272]",48
27-Melo 2005,0.3,svc,0.65,0.93,0.83,0.83,0.35,0.07,0.17,0.46,0.83,0.73,0.61,"ANDN920101, FAUJ880111, KLEP840101, PALJ810110","[42, 46, 68, 79, 93, 152, 165, 189, 251, 272]",40
29-Etchebest 2007,0.3,mlp,0.66,0.92,0.82,0.83,0.34,0.08,0.18,0.42,0.83,0.73,0.62,"CHAM830107, FINA910103, FAUJ880111, KARS160102, CHAM830104","[42, 46, 68, 70, 79, 81, 93, 132, 152, 165, 182, 189, 190, 251, 266, 270, 272]",85
24-Kosiol 2003,0.3,mlp,0.57,0.93,0.81,0.8,0.43,0.07,0.19,0.61,0.8,0.67,0.55,"ANDN920101, CHAM830104, KLEP840101","[42, 46, 68, 70, 79, 93, 165, 251]",24
30-Solis GBMR4 2009,0.3,random forest,0.48,0.92,0.76,0.76,0.52,0.08,0.24,0.84,0.76,0.59,0.45,"ANDN920101, FAUJ880112, KLEP840101, MEIH800101, VENT840101","[42, 46, 68, 79, 152, 162, 165, 182, 186, 251, 270, 272]",60
