alphabet,threshold,method,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,aaindex,selected_sites,feature_num
14b-Prlic SDM17 2000,0.2,random forest,0.77,0.9,0.81,0.88,0.23,0.1,0.19,0.25,0.86,0.79,0.68,"CHAM830104, FAUJ880111, MONM990101, HOPA770101, FAUJ880110, CHAM830105, RICJ880106","[34, 42, 46, 68, 70, 79, 81, 93, 119, 132, 145, 152, 162, 165, 182, 185, 186, 188, 189, 208, 221, 251, 252, 266, 270, 272]",182
16-Murphy 2000,0.2,random forest,0.73,0.93,0.85,0.86,0.27,0.07,0.15,0.32,0.86,0.78,0.68,"CHAM830105, GRAR740101, KLEP840101, RICJ880110, PTIO830102, FINA770101","[42, 46, 68, 70, 79, 81, 93, 140, 152, 162, 165, 169, 182, 185, 189, 251, 266, 270, 272, 273]",120
18-Ceiplak 2001,0.2,mlp,0.75,0.92,0.83,0.87,0.25,0.08,0.17,0.27,0.86,0.79,0.69,"FINA910104, ANDN920101, CHAM830105, VENT840101","[42, 46, 68, 79, 81, 93, 140, 145, 162, 165, 188, 189, 208, 251, 252, 273]",64
23a-Edgar Se-B 2003,0.2,random forest,0.72,0.94,0.86,0.86,0.28,0.06,0.14,0.34,0.86,0.78,0.69,"QIAN880115, KLEP840101, FINA910102, KARS160120, CHAM810101, RICJ880109, RACS820109","[42, 46, 68, 70, 79, 81, 93, 140, 152, 162, 165, 169, 182, 185, 251, 266, 270, 272, 273]",133
23b-Edgar Se-V 2003,0.2,mlp,0.69,0.95,0.88,0.85,0.31,0.05,0.12,0.39,0.86,0.77,0.68,"CHAM830104, QIAN880138, GEIM800101, CHAM830107, BEGF750101, KLEP840101, QIAN880115","[42, 46, 68, 70, 79, 81, 93, 140, 152, 162, 165, 169, 182, 251, 266, 270, 272, 273]",126
25-Weathers 2004,0.2,random forest,0.73,0.93,0.85,0.87,0.27,0.07,0.15,0.31,0.86,0.79,0.69,"FAUJ880111, RICJ880109, FAUJ880112, ANDN920101, VENT840101, CHAM830104","[42, 46, 68, 79, 93, 140, 145, 152, 162, 165, 169, 182, 188, 189, 208, 251, 266, 270, 272, 273]",120
31-Zuo 2009,0.2,random forest,0.73,0.92,0.84,0.86,0.27,0.08,0.16,0.32,0.86,0.78,0.68,"KARS160118, FAUJ880105, PALJ810116, KARS160106, PONP800101, RICJ880109","[42, 46, 68, 70, 79, 81, 93, 132, 140, 152, 162, 165, 169, 182, 185, 189, 190, 251, 266, 270, 272, 273]",132
Van Der Waals Volume,0.2,random forest,0.71,0.93,0.85,0.86,0.29,0.07,0.15,0.35,0.85,0.77,0.67,"ANDN920101, CHAM830104, FAUJ880111, MONM990201","[34, 42, 46, 68, 70, 79, 81, 140, 152, 165, 169, 186, 266, 273]",56
2-Lehninger70,0.2,mlp,0.75,0.91,0.82,0.87,0.25,0.09,0.18,0.29,0.85,0.78,0.68,"CHAM830104, FAUJ880111, FAUJ880112, ANDN920101, CHAM830107, CHAM830103","[34, 42, 46, 68, 81, 93, 140, 152, 162, 169, 182, 186, 189, 251, 252, 270, 272, 273]",108
14a-Prlic SDM12 2000,0.2,mlp,0.73,0.91,0.82,0.86,0.27,0.09,0.18,0.3,0.85,0.77,0.67,"FAUJ880109, BEGF750101, CHAM830107, FINA910102, CHOC760101, CHAM830104","[34, 42, 46, 68, 70, 79, 81, 93, 119, 152, 162, 165, 182, 185, 186, 189, 221, 251, 266, 270, 272]",126
15a-Solis(G) 2000,0.2,random forest,0.74,0.9,0.8,0.87,0.26,0.1,0.2,0.28,0.85,0.77,0.66,"CHAM830108, AURR980103","[34, 46, 68, 81, 93, 119, 132, 152, 182, 185, 186, 189, 221, 252, 266, 270, 272]",34
29-Etchebest 2007,0.2,mlp,0.69,0.92,0.82,0.84,0.31,0.08,0.18,0.37,0.84,0.75,0.64,"CHAM830107, FINA910103, FAUJ880109, KARS160102, CHAM830104","[42, 46, 68, 70, 79, 81, 93, 119, 132, 152, 162, 165, 182, 185, 189, 190, 251, 266, 270, 272]",100
Hyrophobic,0.2,random forest,0.65,0.93,0.84,0.83,0.35,0.07,0.16,0.45,0.83,0.73,0.62,"ANDN920101, FAUJ880112, KLEP840101, MAXF760101","[42, 46, 68, 79, 81, 152, 165, 251, 252, 266, 272]",44
Polarity,0.2,svc,0.63,0.95,0.87,0.82,0.37,0.05,0.13,0.52,0.83,0.73,0.63,"ANDN920101, FAUJ880111, KLEP840101, VENT840101","[42, 46, 68, 79, 81, 93, 152, 165, 251, 266, 272]",44
SE-B(8),0.2,svc,0.65,0.93,0.83,0.83,0.35,0.07,0.17,0.45,0.83,0.73,0.62,"CHAM830104, PALJ810107, MITS020101, CHAM830107, CHAM830105, FINA910104, GRAR740103","[42, 46, 68, 70, 79, 81, 93, 119, 152, 162, 165, 182, 185, 251, 266, 270, 272]",119
5-Dickerson83,0.2,random forest,0.65,0.93,0.84,0.83,0.35,0.07,0.16,0.45,0.83,0.73,0.62,"ANDN920101, CHAM830104, FAUJ880111, KLEP840101","[42, 46, 68, 79, 81, 93, 152, 165, 251, 252, 266, 272]",48
15b-Solis(D) 2000,0.2,mlp,0.7,0.9,0.8,0.85,0.3,0.1,0.2,0.35,0.83,0.74,0.62,"KARS160104, GRAR740101, CHAM830103, KARS160120, CHAM830106","[42, 46, 68, 70, 79, 81, 93, 119, 132, 152, 162, 165, 182, 185, 189, 190, 251, 252, 266, 270, 272]",105
17-Rogov 2001,0.2,svc,0.63,0.94,0.86,0.82,0.37,0.06,0.14,0.51,0.83,0.73,0.63,"CHAM830104, ANDN920101, MITS020101, FAUJ880111","[42, 46, 68, 79, 81, 93, 119, 152, 162, 165, 182, 185, 251, 270, 272]",60
27-Melo 2005,0.2,svc,0.65,0.93,0.83,0.83,0.35,0.07,0.17,0.46,0.83,0.73,0.61,"ANDN920101, FAUJ880111, KLEP840101, PALJ810110","[42, 46, 68, 79, 93, 152, 165, 189, 251, 272]",40
24-Kosiol 2003,0.2,mlp,0.57,0.93,0.81,0.8,0.43,0.07,0.19,0.61,0.8,0.67,0.55,"ANDN920101, CHAM830104, KLEP840101","[42, 46, 68, 70, 79, 93, 165, 251]",24
30-Solis GBMR4 2009,0.2,svc,0.48,0.92,0.76,0.76,0.52,0.08,0.24,0.84,0.76,0.59,0.45,"ANDN920101, FAUJ880112, KLEP840101, MEIH800101, VENT840101","[42, 46, 68, 79, 119, 152, 162, 165, 182, 185, 186, 251, 270, 272]",70
