alphabet,threshold,method,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,aaindex,selected_sites,feature_num
1-Mahler66,0.7,mlp,0.84,0.86,0.87,0.82,0.16,0.14,0.13,0.16,0.85,0.86,0.7,"FINA910104, VENT840101, CHAM830105, CHAM830103, CHAM830108, CHAM830107","[123, 132, 134, 144, 155, 188, 275]",42
2-Lehninger70,0.7,mlp,0.84,0.86,0.88,0.82,0.16,0.14,0.12,0.17,0.85,0.86,0.7,"CHAM830104, ANDN920101, FAUJ880112, CHAM830103, FAUJ880109","[61, 82, 134, 143, 155, 157, 188]",35
25-Weathers 2004,0.7,random forest,0.84,0.85,0.87,0.82,0.16,0.15,0.13,0.16,0.85,0.86,0.69,"CHAM830107, VENT840101, FASG760102, ANDN920101, RICJ880109","[61, 120, 123, 134, 144, 154, 155, 157, 277]",45
SE-B(14),0.7,random forest,0.81,0.86,0.87,0.8,0.19,0.14,0.13,0.2,0.84,0.84,0.67,"CHAM830108, BEGF750103, CHAM830105, GOLD730101, CHAM830104, FINA910101","[132, 134, 155, 157, 188, 275]",36
7-Risler88,0.7,svc,0.8,0.88,0.89,0.79,0.2,0.12,0.11,0.22,0.84,0.84,0.68,"LEVM760107, CHOP780101, MITS020101, FAUJ880109, CHAM830105, CHAM830103, CHAM830104","[123, 132, 134, 155, 157, 188, 261, 275]",56
14a-Prlic SDM12 2000,0.7,mlp,0.86,0.82,0.85,0.83,0.14,0.18,0.15,0.14,0.84,0.85,0.68,"BEGF750103, VENT840101, BULH740101, FAUJ880112, CHOP780209, FAUJ880111, CHAM830103, NOZY710101","[123, 132, 134, 144, 171, 188, 275]",56
20-Cannata 2002,0.7,random forest,0.81,0.86,0.88,0.8,0.19,0.14,0.12,0.2,0.84,0.84,0.67,"BEGF750102, FAUJ880109, CHAM830105, FAUJ880110, CHAM830104, RICJ880117","[132, 134, 155, 157, 188, 275]",36
29-Etchebest 2007,0.7,random forest,0.84,0.83,0.85,0.82,0.16,0.17,0.15,0.16,0.84,0.85,0.67,"FAUJ880109, FAUJ880111, CHAM830105, FAUJ880105","[123, 134, 144, 171, 188, 261, 275, 277]",32
Standard,0.7,mlp,0.8,0.86,0.87,0.79,0.2,0.14,0.13,0.21,0.83,0.84,0.66,"WERD780101, NAGK730102, BEGF750102, CHAM830103, QIAN880101","[134, 155, 157, 188]",20
SE-B(8),0.7,random forest,0.86,0.8,0.83,0.83,0.14,0.2,0.17,0.14,0.83,0.84,0.65,"CHAM830104, VENT840101, CHOC760102, FAUJ880111, CHAM830103, NOZY710101","[123, 134, 144, 171, 188, 275, 277]",42
8-Crippen90,0.7,mlp,0.78,0.88,0.89,0.78,0.22,0.12,0.11,0.25,0.83,0.83,0.66,"ANDN920101, CHAM830103, CHAM830107, FAUJ880103, KLEP840101","[61, 120, 143, 144, 155, 156, 189, 196, 261]",45
31-Zuo 2009,0.7,mlp,0.79,0.87,0.88,0.78,0.21,0.13,0.12,0.24,0.83,0.83,0.66,"BEGF750103, LEVM760107, FAUJ880105, CHAM830104, FAUJ880112, VENT840101, CHAM830105","[134, 155, 157, 188, 261, 275]",42
21-Fan 2003,0.7,mlp,0.88,0.75,0.81,0.84,0.12,0.25,0.19,0.12,0.82,0.84,0.64,"CHAM830104, CHAM830105, CHAM830103, FINA910104, CHAM830107, CHOP780215, FAUJ880112","[132, 134, 155, 188, 275]",35
22-Li 2003,0.7,svc,0.81,0.83,0.85,0.79,0.19,0.17,0.15,0.2,0.82,0.83,0.64,"DAYM780101, CHAM830104, FAUJ880109, FAUJ880110, VENT840101, CHAM830107","[123, 132, 134, 155, 188, 275]",36
23a-Edgar Se-B 2003,0.7,svc,0.84,0.79,0.83,0.81,0.16,0.21,0.17,0.16,0.82,0.83,0.64,"KLEP840101, CHAM830104, CHAM830103, FAUJ880112, FAUJ880111","[134, 155, 157, 188, 275]",25
26-Anderson 2004,0.7,mlp,0.78,0.86,0.87,0.77,0.22,0.14,0.13,0.25,0.82,0.82,0.64,"MITS020101, BEGF750102, CHAM830104, KARS160120, CHAM830105, FAUJ880111","[134, 155, 157, 275]",24
28-Lenckowski 2007,0.7,mlp,0.78,0.86,0.87,0.77,0.22,0.14,0.13,0.24,0.82,0.82,0.64,"CHAM830106, CHAM830108, FAUJ880105, CHAM830103, KLEP840101","[134, 155, 157, 188]",20
