alphabet,threshold,method,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,aaindex,selected_sites,feature_num
Polarity,0.7,mlp,0.78,0.84,0.85,0.77,0.22,0.16,0.15,0.24,0.81,0.81,0.62,"ANDN920101, FAUJ880111, KLEP840101, VENT840101","[120, 132, 136, 143, 154, 156, 171, 188, 192, 275, 277]",44
6-Taylor86,0.7,mlp,0.83,0.8,0.83,0.8,0.17,0.2,0.17,0.17,0.81,0.83,0.63,"FAUJ880112, LEVM760107, KARS160120, FAUJ880111, QIAN880117","[132, 134, 188, 261, 275]",25
9-Maiorov92,0.7,mlp,0.85,0.77,0.81,0.81,0.15,0.23,0.19,0.15,0.81,0.83,0.62,"CHAM830104, KLEP840101, CHAM830107","[134, 155, 188, 275]",12
15a-Solis(G) 2000,0.7,mlp,0.82,0.8,0.83,0.79,0.18,0.2,0.17,0.18,0.81,0.83,0.62,"BROC820102, CHAM830105, RACS820101, FINA910101","[123, 132, 134, 171, 188, 261, 275]",28
16-Murphy 2000,0.7,mlp,0.84,0.77,0.81,0.81,0.16,0.23,0.19,0.15,0.81,0.83,0.62,"CHAM830104, RICJ880110, FAUJ880110, VENT840101, FAUJ880111","[134, 155, 188, 275]",20
3-Robson76,0.7,svc,0.78,0.8,0.82,0.75,0.22,0.2,0.18,0.23,0.79,0.8,0.57,"KARS160106, VENT840101, CHAM830107, FAUJ880105, FAUJ880112","[134, 155]",10
5-Dickerson83,0.7,mlp,0.74,0.84,0.85,0.73,0.26,0.16,0.15,0.3,0.79,0.79,0.58,"ANDN920101, CHAM830104, FAUJ880111, KLEP840101","[120, 132, 143, 156, 171, 188, 192, 275, 277]",36
17-Rogov 2001,0.7,mlp,0.84,0.73,0.78,0.79,0.16,0.27,0.22,0.15,0.79,0.81,0.57,"FAUJ880109, CHAM830103, VENT840101, FAUJ880111, NOZY710101","[134, 154, 171, 188]",20
23b-Edgar Se-V 2003,0.7,svc,0.83,0.75,0.79,0.79,0.17,0.25,0.21,0.16,0.79,0.81,0.58,"CHAM830103, MITS020101, CHAM830104, LEVM760103, CHAM830107","[134, 155, 188, 275]",20
Hyrophobic,0.7,mlp,0.75,0.83,0.84,0.74,0.25,0.17,0.16,0.29,0.78,0.79,0.57,"ANDN920101, FAUJ880112, KLEP840101, MAXF760101","[120, 132, 143, 156, 171, 188, 192, 275, 277]",36
4-Dayhoff78,0.7,svc,0.82,0.74,0.79,0.78,0.18,0.26,0.21,0.17,0.78,0.8,0.56,"CHAM830103, CHAM830107, VENT840101, FAUJ880111, FAUJ880112","[144, 188, 275]",15
11-Riddle97,0.7,svc,0.82,0.73,0.78,0.77,0.18,0.27,0.22,0.18,0.78,0.8,0.55,"JANJ790102, FAUJ880105, NOZY710101, BEGF750102","[134, 155]",8
12-Mirny99,0.7,mlp,0.79,0.78,0.81,0.76,0.21,0.22,0.19,0.22,0.78,0.8,0.56,"CHAM830103, FAUJ880109, NOZY710101, BEGF750102, FINA910102","[134, 155]",10
13-Wang99,0.7,svc,0.82,0.73,0.78,0.77,0.18,0.27,0.22,0.18,0.78,0.8,0.55,"JANJ790102, FAUJ880105, NOZY710101, BEGF750102","[134, 155]",8
15b-Solis(D) 2000,0.7,mlp,0.83,0.72,0.78,0.78,0.17,0.28,0.22,0.16,0.78,0.8,0.55,"KARS160116, VENT840101, FAUJ880111, ROSM880103, RICJ880117","[134, 171, 275]",15
27-Melo 2005,0.7,svc,0.76,0.78,0.8,0.74,0.24,0.22,0.2,0.25,0.77,0.78,0.54,"CHAM830103, KLEP840101, PALJ810110","[130, 143, 154, 156, 171]",15
30-Solis GBMR4 2009,0.7,mlp,0.77,0.77,0.8,0.74,0.23,0.23,0.2,0.24,0.77,0.79,0.55,"ANDN920101, FAUJ880112, KLEP840101, MEIH800101, VENT840101","[134, 136, 143, 156, 171]",25
Van Der Waals Volume,0.7,mlp,0.7,0.83,0.83,0.71,0.3,0.17,0.17,0.35,0.76,0.76,0.54,"ANDN920101, CHAM830104, FAUJ880111, MONM990201","[157, 188, 275]",12
Polarizability,0.7,mlp,0.72,0.81,0.82,0.71,0.28,0.19,0.18,0.32,0.76,0.77,0.53,"ANDN920101, FAUJ880111","[157, 188, 275]",6
14b-Prlic SDM17 2000,0.7,svc,0.64,0.86,0.84,0.67,0.36,0.14,0.16,0.48,0.74,0.73,0.5,"CHAM830105, RICJ880104, GOLD730101, CHAM810101, BEGF750103, NOZY710101, CHAM830108",[188],7
24-Kosiol 2003,0.7,mlp,0.71,0.77,0.79,0.69,0.29,0.23,0.21,0.32,0.74,0.74,0.48,"ANDN920101, KLEP840101","[120, 136, 143, 156]",8
10-Thomas96,0.7,svc,0.56,0.92,0.9,0.64,0.44,0.08,0.1,0.72,0.73,0.69,0.51,"ANDN920101, CHAM830103, FAUJ880109, FAUJ880112, VENT840101",[155],5
19-Liu 2002,0.7,svc,0.56,0.92,0.9,0.64,0.44,0.08,0.1,0.72,0.73,0.69,0.51,"ANDN920101, CHAM830103, FAUJ880109, FAUJ880112",[155],4
18-Ceiplak 2001,0.7,mlp,0.56,0.92,0.89,0.64,0.44,0.08,0.11,0.7,0.72,0.69,0.5,"ANDN920101, CHAM830107, VENT840101",[155],3
